id|datetm|cui|type|polarity|text
579034205457395714|Fri Mar 20 21:38:07 UTC 2015|C0524222|5|1|Oxycontin
579034205457395714|Fri Mar 20 21:38:07 UTC 2015|C0722364|1|1|Oxycontin
579034205457395714|Fri Mar 20 21:38:07 UTC 2015|C0039101|2|1|ss
579034225048985600|Fri Mar 20 21:38:11 UTC 2015|C1522449|5|1|RT
579034225048985600|Fri Mar 20 21:38:11 UTC 2015|C0524222|5|1|Oxycontin
579034225048985600|Fri Mar 20 21:38:11 UTC 2015|C0722364|1|1|Oxycontin
579034225048985600|Fri Mar 20 21:38:11 UTC 2015|C0039101|2|1|ss
579034532344700928|Fri Mar 20 21:39:25 UTC 2015|C1273342|5|1|epic
579034556172537856|Fri Mar 20 21:39:30 UTC 2015|C1522449|5|1|RT
579034556172537856|Fri Mar 20 21:39:30 UTC 2015|C0524222|5|1|Oxycontin
579034556172537856|Fri Mar 20 21:39:30 UTC 2015|C0722364|1|1|Oxycontin
579034556172537856|Fri Mar 20 21:39:30 UTC 2015|C0039101|2|1|ss
579034898771640320|Fri Mar 20 21:40:52 UTC 2015|C0310367|1|1|today
579035333720948736|Fri Mar 20 21:42:36 UTC 2015|C1522449|5|1|RT
579035333720948736|Fri Mar 20 21:42:36 UTC 2015|C0524222|5|1|Oxycontin
579035333720948736|Fri Mar 20 21:42:36 UTC 2015|C0722364|1|1|Oxycontin
579035333720948736|Fri Mar 20 21:42:36 UTC 2015|C0039101|2|1|ss
579035333980913665|Fri Mar 20 21:42:36 UTC 2015|C0011581|2|1|depression
579035333980913665|Fri Mar 20 21:42:36 UTC 2015|C0011570|2|1|depression
579035333980913665|Fri Mar 20 21:42:36 UTC 2015|C0344315|3|1|depression
579035355246030848|Fri Mar 20 21:42:41 UTC 2015|C1522449|5|1|RT
579035355246030848|Fri Mar 20 21:42:41 UTC 2015|C0524222|5|1|Oxycontin
579035355246030848|Fri Mar 20 21:42:41 UTC 2015|C0722364|1|1|Oxycontin
579035355246030848|Fri Mar 20 21:42:41 UTC 2015|C0039101|2|1|ss
575072394714484737|Mon Mar 09 23:15:17 UTC 2015|C0719198|1|1|Celebrex
575072438855294979|Mon Mar 09 23:15:28 UTC 2015|C0524222|5|1|OxyContin
575072438855294979|Mon Mar 09 23:15:28 UTC 2015|C0722364|1|1|OxyContin
575072438855294979|Mon Mar 09 23:15:28 UTC 2015|C0202362|5|1|cocaine
575072438855294979|Mon Mar 09 23:15:28 UTC 2015|C0678156|3|1|ecstasy
579036235143876608|Fri Mar 20 21:46:11 UTC 2015|C1522449|5|1|RT
579036235143876608|Fri Mar 20 21:46:11 UTC 2015|C0524222|5|1|Oxycontin
579036235143876608|Fri Mar 20 21:46:11 UTC 2015|C0722364|1|1|Oxycontin
579036235143876608|Fri Mar 20 21:46:11 UTC 2015|C0039101|2|1|ss
575077872156696576|Mon Mar 09 23:37:03 UTC 2015|C1522449|5|1|RT
575077872156696576|Mon Mar 09 23:37:03 UTC 2015|C1306459|2|1|Cancer
575077872156696576|Mon Mar 09 23:37:03 UTC 2015|C0006826|2|1|Cancer
575077872156696576|Mon Mar 09 23:37:03 UTC 2015|C0042789|3|1|sight
575077878204760064|Mon Mar 09 23:37:05 UTC 2015|C0270549|2|1|gad
579039177582358530|Fri Mar 20 21:57:52 UTC 2015|C0719198|1|1|Celebrex
580739332589428736|Wed Mar 25 14:33:41 UTC 2015|C0423896|3|1|content
580739332589428736|Wed Mar 25 14:33:41 UTC 2015|C0939400|1|1|nexium
580740024355946497|Wed Mar 25 14:36:26 UTC 2015|C0939400|1|1|Nexium
576762362679713792|Sat Mar 14 15:10:37 UTC 2015|C0719198|1|1|CELEBREX
576762362679713792|Sat Mar 14 15:10:37 UTC 2015|C0373675|5|1|mg
576762709192097792|Sat Mar 14 15:12:00 UTC 2015|C1522449|5|1|RT
576762752670253056|Sat Mar 14 15:12:10 UTC 2015|C1522449|5|1|RT
576762932102463488|Sat Mar 14 15:12:53 UTC 2015|C1328247|2|1|Abuse
576762932102463488|Sat Mar 14 15:12:53 UTC 2015|C0562381|3|1|Abuse
576762932102463488|Sat Mar 14 15:12:53 UTC 2015|C0524222|5|1|OxyContin
576762932102463488|Sat Mar 14 15:12:53 UTC 2015|C0722364|1|1|OxyContin
580741504416743425|Wed Mar 25 14:42:18 UTC 2015|C1522449|5|1|RT
580741504416743425|Wed Mar 25 14:42:18 UTC 2015|C0202304|5|1|alcohol
580741580308361218|Wed Mar 25 14:42:37 UTC 2015|C0019080|2|1|Bleeding
576763251989479424|Sat Mar 14 15:14:09 UTC 2015|C0034754|3|1|Read
576763251989479424|Sat Mar 14 15:14:09 UTC 2015|C1170625|1|1|Suboxone
576763251989479424|Sat Mar 14 15:14:09 UTC 2015|C0310367|1|1|today
